,TEAM,DATE,LOC,GAME_ID,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ben Simmons,PHI,2018-10-16,BOS,201810160BOS,42.75,7,14,.500,0,0,,5,10,.500,3,12,15,8,4,2,3,5,19,-8
Joel Embiid,PHI,2018-10-16,BOS,201810160BOS,36.817,9,21,.429,1,4,.250,4,5,.800,2,8,10,2,1,2,5,3,23,-8
Robert Covington,PHI,2018-10-16,BOS,201810160BOS,34.2,3,10,.300,2,7,.286,0,0,,1,5,6,0,2,1,2,1,8,-9
Markelle Fultz,PHI,2018-10-16,BOS,201810160BOS,24.333,2,7,.286,0,0,,1,2,.500,0,3,3,2,1,0,3,1,5,-16
Dario Šarić,PHI,2018-10-16,BOS,201810160BOS,22.917,3,8,.375,0,4,.000,0,0,,0,6,6,1,0,0,3,5,6,-6
J.J. Redick,PHI,2018-10-16,BOS,201810160BOS,29.767,7,17,.412,2,8,.250,0,0,,0,2,2,1,0,0,0,1,16,-10
T.J. McConnell,PHI,2018-10-16,BOS,201810160BOS,22.433,2,5,.400,0,1,.000,0,0,,0,1,1,3,0,0,0,3,4,-11
Landry Shamet,PHI,2018-10-16,BOS,201810160BOS,12.7,0,4,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-8
Amir Johnson,PHI,2018-10-16,BOS,201810160BOS,11.183,1,1,1.000,0,0,,3,4,.750,0,3,3,1,0,0,0,1,5,-10
Jonah Bolden,PHI,2018-10-16,BOS,201810160BOS,1.45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Furkan Korkmaz,PHI,2018-10-16,BOS,201810160BOS,1.45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Shake Milton,PHI,2018-10-16,BOS,201810160BOS,0.0,,,,,,,,,,,,,,,,,,,
Demetrius Jackson,PHI,2018-10-16,BOS,201810160BOS,0.0,,,,,,,,,,,,,,,,,,,
Al Horford,BOS,2018-10-16,BOS,201810160BOS,29.95,4,7,.571,0,1,.000,1,1,1.000,0,4,4,2,0,4,3,1,9,+9
Kyrie Irving,BOS,2018-10-16,BOS,201810160BOS,29.0,2,14,.143,1,8,.125,2,2,1.000,0,4,4,7,0,0,3,1,7,+9
Jayson Tatum,BOS,2018-10-16,BOS,201810160BOS,28.933,9,17,.529,1,5,.200,4,5,.800,2,7,9,3,1,0,1,2,23,+6
Jaylen Brown,BOS,2018-10-16,BOS,201810160BOS,28.383,5,13,.385,1,3,.333,1,2,.500,3,2,5,2,0,0,2,4,12,+11
Gordon Hayward,BOS,2018-10-16,BOS,201810160BOS,24.617,4,12,.333,1,3,.333,1,2,.500,2,3,5,0,4,0,0,1,10,+10
Terry Rozier,BOS,2018-10-16,BOS,201810160BOS,26.517,5,10,.500,1,2,.500,0,0,,0,8,8,1,0,1,1,0,11,+22
Marcus Smart,BOS,2018-10-16,BOS,201810160BOS,25.017,2,4,.500,2,4,.500,1,2,.500,0,3,3,3,0,0,2,2,7,+3
Marcus Morris,BOS,2018-10-16,BOS,201810160BOS,20.5,7,12,.583,2,7,.286,0,0,,2,8,10,0,2,0,1,5,16,+3
Aron Baynes,BOS,2018-10-16,BOS,201810160BOS,19.233,3,7,.429,2,4,.500,0,0,,3,1,4,3,0,0,1,3,8,+8
